date,close
2017-09-26,4321000.0
2017-09-27,4657000.0
2017-09-28,4586000.0
2017-09-29,4657000.0
2017-09-30,4895000.0
2017-10-01,4962000.0
2017-10-02,5025000.0
2017-10-03,4964000.0
2017-10-04,4895000.0
2017-10-05,4926000.0
2017-10-06,5027000.0
2017-10-07,5047000.0
2017-10-08,5217000.0
2017-10-09,5477000.0
2017-10-10,5486000.0
2017-10-11,5557000.0
2017-10-12,6332000.0
2017-10-13,6438000.0
2017-10-14,6664000.0
2017-10-15,6381000.0
2017-10-16,6491000.0
2017-10-17,6457000.0
2017-10-18,6391000.0
2017-10-19,6511000.0
2017-10-20,6928000.0
2017-10-21,6874000.0
2017-10-22,7039000.0
2017-10-23,6971000.0
2017-10-24,6479000.0
2017-10-25,6643000.0
2017-10-26,6811000.0
2017-10-27,6710000.0
2017-10-28,6715000.0
2017-10-29,6961000.0
2017-10-30,6964000.0
2017-10-31,7422000.0
2017-11-01,7798000.0
2017-11-02,8217000.0
2017-11-03,8143000.0
2017-11-04,8346000.0
2017-11-05,8453000.0
2017-11-06,8060000.0
2017-11-07,8243000.0
2017-11-08,8339000.0
2017-11-09,8148000.0
2017-11-10,7541000.0
2017-11-11,7231000.0
2017-11-12,7132000.0
2017-11-13,7487000.0
2017-11-14,7591000.0
2017-11-15,8350000.0
2017-11-16,8710000.0
2017-11-17,8541000.0
2017-11-18,8618000.0
2017-11-19,8770000.0
2017-11-20,9025000.0
2017-11-21,8944000.0
2017-11-22,9084000.0
2017-11-23,8943000.0
2017-11-24,9195000.0
2017-11-25,9879000.0
2017-11-26,10344000.0
2017-11-27,11314000.0
2017-11-28,12048000.0
2017-11-29,11104000.0
2017-11-30,11935000.0
2017-12-01,12532000.0
2017-12-02,12971000.0
2017-12-03,13128000.0
2017-12-04,13684000.0
2017-12-05,14645000.0
2017-12-06,18390000.0
2017-12-07,23791000.0
2017-12-08,20260000.0
2017-12-09,17769000.0
2017-12-10,17661000.0
2017-12-11,19307000.0
2017-12-12,18940000.0
2017-12-13,18358000.0
2017-12-14,18660000.0
2017-12-15,20075000.0
2017-12-16,22205000.0
2017-12-17,21881000.0
2017-12-18,22087000.0
2017-12-19,22367000.0
2017-12-20,22638000.0
2017-12-21,22200000.0
2017-12-22,19089000.0
2017-12-23,20525000.0
2017-12-24,19592000.0
2017-12-25,19822000.0
2017-12-26,21933000.0
2017-12-27,21970000.0
2017-12-28,19565000.0
2017-12-29,19290000.0
2017-12-30,18415000.0
2017-12-31,19280000.0
2018-01-01,18860000.0
2018-01-02,20263000.0
2018-01-03,20900000.0
2018-01-04,23402000.0
2018-01-05,27444000.0
2018-01-06,26924000.0
2018-01-07,25859000.0
2018-01-08,25230000.0
2018-01-09,24016000.0
2018-01-10,21317000.0
2018-01-11,19389000.0
2018-01-12,20745000.0
2018-01-13,21135000.0
2018-01-14,19206000.0
2018-01-15,19106000.0
2018-01-16,14279000.0
2018-01-17,14951000.0
2018-01-18,14880000.0
2018-01-19,15372000.0
2018-01-20,16858000.0
2018-01-21,14640000.0
2018-01-22,13944000.0
2018-01-23,13141000.0
2018-01-24,13450000.0
2018-01-25,12973000.0
2018-01-26,12876000.0
2018-01-27,12900000.0
2018-01-28,13352000.0
2018-01-29,12909000.0
2018-01-30,11627000.0
2018-01-31,11429000.0
2018-02-01,10070000.0
2018-02-02,9410000.0
2018-02-03,9520000.0
2018-02-04,8900000.0
2018-02-05,7832000.0
2018-02-06,8642000.0
2018-02-07,8387000.0
2018-02-08,9480000.0
2018-02-09,9929000.0
2018-02-10,9959000.0
2018-02-11,9320000.0
2018-02-12,10140000.0
2018-02-13,9906000.0
2018-02-14,10473000.0
2018-02-15,11357000.0
2018-02-16,11462000.0
2018-02-17,12300000.0
2018-02-18,11966000.0
2018-02-19,12649000.0
2018-02-20,13548000.0
2018-02-21,12815000.0
2018-02-22,11763000.0
2018-02-23,12065000.0
2018-02-24,11553000.0
2018-02-25,11230000.0
2018-02-26,11773000.0
2018-02-27,11951000.0
2018-02-28,11860000.0
2018-03-01,12214000.0
2018-03-02,12465000.0
2018-03-03,12831000.0
2018-03-04,12592000.0
2018-03-05,12746000.0
2018-03-06,12023000.0
2018-03-07,11200000.0
2018-03-08,10517000.0
2018-03-09,10418000.0
2018-03-10,9863000.0
2018-03-11,10520000.0
2018-03-12,10213000.0
2018-03-13,10168000.0
2018-03-14,9153000.0
2018-03-15,9115000.0
2018-03-16,9095000.0
2018-03-17,8667000.0
2018-03-18,9018000.0
2018-03-19,9718000.0
2018-03-20,9829000.0
2018-03-21,9919000.0
2018-03-22,9783000.0
2018-03-23,9847000.0
2018-03-24,9580000.0
2018-03-25,9477000.0
2018-03-26,9052000.0
2018-03-27,8651000.0
2018-03-28,8730000.0
2018-03-29,7915000.0
2018-03-30,7602000.0
2018-03-31,7697000.0
2018-04-01,7482000.0
2018-04-02,7710000.0
2018-04-03,8092000.0
2018-04-04,7492000.0
2018-04-05,7408000.0
2018-04-06,7280000.0
2018-04-07,7533000.0
2018-04-08,7622000.0
2018-04-09,7450000.0
2018-04-10,7428000.0
2018-04-11,7429000.0
2018-04-12,8121000.0
2018-04-13,8375000.0
2018-04-14,8350000.0
2018-04-15,8663000.0
2018-04-16,8663000.0
2018-04-17,8450000.0
2018-04-18,8652000.0
2018-04-19,8994000.0
2018-04-20,9552000.0
2018-04-21,9735000.0
2018-04-22,9602000.0
2018-04-23,9760000.0
2018-04-24,10505000.0
2018-04-25,9829000.0
2018-04-26,10130000.0
2018-04-27,9819000.0
2018-04-28,10043000.0
2018-04-29,10187000.0
2018-04-30,10138000.0
2018-05-01,9896000.0
2018-05-02,10032000.0
2018-05-03,10683000.0
2018-05-04,10645000.0
2018-05-05,10820000.0
2018-05-06,10684000.0
2018-05-07,10422000.0
2018-05-08,10233000.0
2018-05-09,10405000.0
2018-05-10,9976000.0
2018-05-11,9256000.0
2018-05-12,9481000.0
2018-05-13,9803000.0
2018-05-14,9797000.0
2018-05-15,9500000.0
2018-05-16,9297000.0
2018-05-17,9090000.0
2018-05-18,9165000.0
2018-05-19,9112000.0
2018-05-20,9370000.0
2018-05-21,9345000.0
2018-05-22,8940000.0
2018-05-23,8483000.0
2018-05-24,8415000.0
2018-05-25,8317000.0
2018-05-26,8162000.0
2018-05-27,8182000.0
2018-05-28,7903000.0
2018-05-29,8299000.0
2018-05-30,8207000.0
2018-05-31,8282000.0
2018-06-01,8282000.0
2018-06-02,8339000.0
2018-06-03,8419000.0
2018-06-04,8248000.0
2018-06-05,8360000.0
2018-06-06,8359000.0
2018-06-07,8375000.0
2018-06-08,8341000.0
2018-06-09,8233000.0
2018-06-10,7576000.0
2018-06-11,7635000.0
2018-06-12,7350000.0
2018-06-13,7040000.0
2018-06-14,7355000.0
2018-06-15,7180000.0
2018-06-16,7277000.0
2018-06-17,7218000.0
2018-06-18,7461000.0
2018-06-19,7553000.0
2018-06-20,7538000.0
2018-06-21,7511000.0
2018-06-22,6962000.0
2018-06-23,7030000.0
2018-06-24,6992000.0
2018-06-25,7036000.0
2018-06-26,6900000.0
2018-06-27,6925000.0
2018-06-28,6682000.0
2018-06-29,6958000.0
2018-06-30,7164000.0
2018-07-01,7109000.0
2018-07-02,7297000.0
2018-07-03,7298000.0
2018-07-04,7329000.0
2018-07-05,7377000.0
2018-07-06,7480000.0
2018-07-07,7550000.0
2018-07-08,7516000.0
2018-07-09,7474000.0
2018-07-10,7140000.0
2018-07-11,7226000.0
2018-07-12,7090000.0
2018-07-13,7054000.0
2018-07-14,7109000.0
